Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory,Grapes
H%C3%A9cula+Monastrell,Spain,Yecla,Casta%C3%B1o,3.3,1004,8.83,2017,red,assente
Berola,Spain,Campo+de+Borja,Borsao,3.9,1006,14.52,2015,red,assente
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+L%C3%A9oville+Poyferr%C3%A9,4.4,1008,189.0,2010,red,assente
Pinot+Noir+Bourgogne,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,red,Pinot+Noir
Vigna+del+Noce+Barbera+d%27Asti,Italy,Barbera+d%27Asti,Trinchero,4.1,101,76.9,2007,red,Barbera
I+Tratturi+Rosso,Italy,Salento,San+Marzano,3.8,101,7.04,2017,red,assente
Ch%C3%A2teau+Pilet+Bordeaux,France,Bordeaux,J.Queyrens+%26+Fils,3.6,101,6.5,2017,red,assente
Sancerre+Rouge,France,Sancerre,Comte+Lafond,4.2,101,37.34,2015,red,assente
Shiraz,Australia,McLaren+Vale,Food+Truck,3.5,101,8.67,2016,red,Shiraz
Ro-R%C3%A9e+Saint-Joseph,France,Saint-Joseph,Louis+Ch%C3%A8ze,4.2,101,24.37,2018,red,assente
Cabernet+Sauvignon,South+Africa,Stellenbosch,Big+Flower,4.0,101,16.5,2015,red,Cabernet+Sauvignon
Cuv%C3%A9e+Alienor+Fronsac,France,Fronsac,Ch%C3%A2teau+Mayne-Vieil,3.7,101,16.47,2015,red,assente
Sabbie+di+Sopra+al+Bosco,Italy,Terre+del+Volturno,Nanni+Cop%C3%A9,3.8,101,31.96,2014,red,Bosco
Roma+Rosso,Italy,Lazio,Poggio+le+Volpi,4.0,101,9.95,2018,red,assente
Garnacha+de+Array%C3%A1n,Spain,Castilla+y+Le%C3%B3n,Array%C3%A1n,3.7,101,21.9,2014,red,assente
Cabernet+Sauvignon,Chile,Central+Valley,Valdivieso,3.3,101,7.6,2018,red,Cabernet+Sauvignon
Terrenus+Vinhas+Velhas+Reserva,Portugal,Alentejano,Rui+Reguinga,4.1,101,27.95,2013,red,assente
Fronsac,France,Fronsac,Ch%C3%A2teau+Villars,3.8,101,25.95,2005,red,assente
Cuv%C3%A9e+Charles+de+Batz+Madiran,France,Madiran,Domaine+Berthoumieu,3.7,101,14.09,2014,red,assente
Stony+Terrace+Cabernet+Sauvignon,United+States,Napa+Valley,Rutherford+Wine+Company,3.8,101,18.03,2016,red,Cabernet+Sauvignon
12+e+Mezzo+Puglia+Primitivo+Organic+Wine,Italy,Puglia,Varvaglione,3.9,101,9.4,2016,red,Primitivo
El+Abuelo+Selecci%C3%B3n+Edici%C3%B3n+Limitada,Spain,Almansa,Bodegas+Piqueras,4.2,101,10.95,2013,red,assente
Sangre+de+Toro+Special+Selection,Spain,Catalunya,Torres,3.6,101,8.9,2017,red,assente
Ch%C3%A2teau+Paul+Mas+Coteaux+du+Languedoc+Clos+des+Mures,France,Languedoc,Paul+Mas,3.8,101,11.05,2018,red,assente
Merlot,France,Pays+d%27Oc,Les+Jamelles,3.6,101,5.36,2018,red,Merlot
Roscaleto+Barbera+d%27Alba,Italy,Barbera+d%27Alba,Enzo+Boglietti,3.9,101,31.18,2015,red,Barbera
Barolo+Cannubi,Italy,Barolo,Giacomo+Fenocchio,4.0,101,39.9,2014,red,assente
Pauillac+%28Premier+Grand+Cru+Class%C3%A9%29,France,Pauillac,Ch%C3%A2teau+Mouton+Rothschild,4.6,101,633.62,2017,red,assente
Cabernet+Sauvignon,United+States,Washington,Stimson+Estate+Cellars,3.3,101,8.29,2014,red,Cabernet+Sauvignon
C%C3%B4te-R%C3%B4tie+Le+Gallet+Blanc,France,C%C3%B4te-R%C3%B4tie,Francois+Villard,4.4,101,48.0,2017,red,assente
Capatosta,Italy,Toscana,Poggio+Argentiera,3.8,101,19.9,2015,red,assente
Constance+Madiran,France,Madiran,Domaine+Berthoumieu,3.8,101,9.5,2015,red,assente
Oak+Cask+Malbec,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019,red,Malbec
Amancaya+Malbec+-+Cabernet+Sauvignon,Argentina,Mendoza,Caro+%28Catena+and+Rothschild%29,4.0,1010,16.8,2017,red,Cabernet+Sauvignon
Laccento+Ruch%C3%A9+di+Castagnole+Monferrato,Italy,Ruch%C3%A8,Montalbera,4.0,1012,19.9,2017,red,assente
San+Leonardo,Italy,Vigneti+delle+Dolomiti,San+Leonardo,4.3,1012,48.64,2011,red,assente
Fausto+Tannat,Brazil,Serra+Ga%C3%BAcha,Pizzato,3.6,1012,11.35,2015,red,Tannat
Pauillac+%28Grand+Cru+Class%C3%A9%29,France,Pauillac,Ch%C3%A2teau+Pichon+Baron,4.4,1014,119.0,2007,red,assente
Disciples,United+States,Napa+Valley,The+Crane+Assembly,4.3,1014,53.61,2016,red,assente
Zinfandel,United+States,Mendocino+County,Bonterra,3.6,1015,16.75,2015,red,Zinfandel
Margaux,France,Margaux,Ch%C3%A2teau+Lab%C3%A9gorce,4.0,1016,40.95,2010,red,assente
La+Luna+e+i+Fal%C3%B2+Barbera+d%27Asti+Superiore,Italy,Barbera+d%27Asti,Vite+Colte,3.8,1016,11.49,2015,red,Barbera
Ribera+del+Duero,Spain,Ribera+del+Duero,Garm%C3%B3n,4.2,1017,38.8,2015,red,assente
Les+Jardins+Rouge,France,Faug%C3%A8res,Saint+Antonin,3.8,102,7.95,2018,red,assente
Nero+d%27Avola+-+Syrah,Italy,Terre+Siciliane,Roccaperciata,3.7,102,4.75,2018,red,Syrah
La+Bienquerida,Spain,Bierzo,Losada,4.1,102,35.97,2013,red,assente
Bonera,Italy,Terre+Siciliane,Mandrarossa,3.7,102,9.5,2018,red,assente
Noi+4+Bolgheri,Italy,Bolgheri,Tenuta+dei+Sette+Cieli,4.0,102,23.5,2016,red,assente
Pinot+Noir,New+Zealand,Marlborough,Clos+Henri+Vineyard,3.9,102,27.78,2016,red,Pinot+Noir
Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Grand+Barrail+Lamarzelle+Figeac,3.9,102,39.95,2005,red,assente
Gran+Selecci%C3%B3n+Tempranillo,Spain,Castilla,Vi%C3%B1a+San+Juan,3.4,102,6.75,2017,red,Tempranillo
Syrah,South+Africa,Paarl,Glen+Carlou,3.9,102,18.25,2017,red,Syrah
Zweigelt,Austria,Burgenland,Judith+Beck,3.9,102,10.6,2017,red,Zweigelt
Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Vieux+Clos+St.+Emilion,4.1,102,23.09,2015,red,assente
List%C3%A1n+Negro,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,red,assente
Viile+Metamorfosis+Merlot,Romania,Dealu+Mare,Vitis+Metamorfosis,3.5,102,7.5,2015,red,Merlot
Merlot+-+Cabernet+Sauvignon+-+Petit+Verdot,South+Africa,Walker+Bay,Creation,3.9,102,12.48,2014,red,Cabernet+Sauvignon
RWT+Shiraz,Australia,Barossa+Valley,Penfolds,4.4,102,229.0,2017,red,Shiraz
Fronton,France,Fronton,Ch%C3%A2teau+Bellevue+La+For%C3%A9t,3.5,102,6.95,2018,red,assente
Costers+Del+Gravet+Montsant,Spain,Montsant,Cap%C3%A7anes,3.7,102,13.95,2013,red,assente
Merlot,Italy,Terre+Siciliane,Cusumano,3.4,102,7.9,2018,red,Merlot
Pinot+Noir,Austria,Burgenland,Paul+Achs,3.7,102,33.05,2015,red,Pinot+Noir
Coume+de+l%27Olla+Rouge,France,Vin+de+France,Matassa,4.1,102,16.96,2019,red,assente
Schwarzer,Germany,Pfalz,Weingut+Metzger,3.6,102,13.15,2017,red,assente
Haut-M%C3%A9doc,France,Haut-M%C3%A9doc,Ch%C3%A2teau+Beaumont,3.8,1020,17.36,2015,red,assente
Bourgogne+Pinot+Noir+%28La+Vign%C3%A9e%29,France,Bourgogne,Bouchard+P%C3%A8re+%26+Fils,3.6,1020,17.59,2015,red,Pinot+Noir
Pinot+Noir,South+Africa,Hemel-en-Aarde+Valley,Hamilton+Russell+Vineyards,4.2,1022,49.09,2017,red,Pinot+Noir
Zinfandel,United+States,California,Geyser+Peak,3.7,1023,10.9,2016,red,Zinfandel
Valpolicella+Ripasso+Classico+Superiore,Italy,Valpolicella+Ripasso+Classico,Bolla,3.7,1024,15.5,2017,red,assente
Rosso+di+Montalcino,Italy,Rosso+di+Montalcino,Castiglion+del+Bosco,3.9,1025,26.5,2015,red,assente
Ripan%C3%A7o+Private+Selection+Alentejano,Portugal,Alentejano,Jos%C3%A9+Maria+da+Fonseca,3.7,1026,8.6,2016,red,assente
Riserva+Cannonau+di+Sardegna,Italy,Cannonau+di+Sardegna,Sella+%26+Mosca,3.8,1027,10.66,2017,red,assente
60+Sessantanni+Old+Vines+Primitivo+di+Manduria,Italy,Primitivo+di+Manduria,San+Marzano,4.4,1028,17.24,2016,red,Primitivo
Kith+%26+Kin+Cabernet+Sauvignon,United+States,Napa+Valley,Round+Pond+Estate,4.2,1028,38.5,2017,red,Cabernet+Sauvignon
Zinfandel,United+States,California,Rombauer+Vineyards,4.3,1029,34.12,2017,red,Zinfandel
Cerro+A%C3%B1on+Rioja+Gran+Reserva,Spain,Rioja,Bodegas+Olarra,4.1,103,14.65,2011,red,assente
Bush+Vine+GSM+%28Shiraz+-+Grenache+-+Mourvedre%29,Australia,McLaren+Vale,Geoff+Merrill,4.0,103,14.57,2013,red,Shiraz
Plaer+Vinyes+Velles,Spain,Priorat,Acustic+Celler,4.1,103,26.18,2016,red,assente
Cabernet+-+Shiraz,Spain,La+Mancha,A%C3%B1oranza,3.4,103,3.95,2016,red,Shiraz
Saint-%C3%89milion+Grand+Cru,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+La+Confession,3.9,103,26.9,2014,red,assente
Comte+de+S%C3%A9n%C3%A9jac+Haut-M%C3%A9doc,France,Haut-M%C3%A9doc,Ch%C3%A2teau+S%C3%A9n%C3%A9jac,3.7,103,16.83,2011,red,assente
Gran+Masetto+Teroldego,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,red,Teroldego
Barolo+Mariondino,Italy,Barolo,Parusso,4.1,103,39.9,2015,red,assente
Crianza,Spain,Rioja,Berceo,3.6,103,9.9,2016,red,assente
Apogee+Pepper+Bridge+Vineyard,United+States,Walla+Walla+Valley,L%27Ecole+No+41,4.1,103,46.9,2013,red,assente
Gamma+Red+Blend,Spain,Navarra,Bodegas+Piedemonte,3.4,103,6.15,2018,red,assente
Peyres+Nobles+Rouge,France,Corbi%C3%A8res,Ch%C3%A2teau+Camplong,4.0,103,6.5,2018,red,assente
Lemartine+Toscana,Italy,Toscana,Poggio+Antico,4.1,103,29.67,2015,red,assente
Organic+Cabernet,Australia,South+Australia,Farm+Hand,3.7,103,7.79,2018,red,assente
Pomerol,France,Pomerol,Ch%C3%A2teau+N%C3%A9nin,4.1,103,240.0,1999,red,assente
Malterdinger+Alte+Reben+Sp%C3%A4tburgunder,Germany,Baden,Bernhard+Huber,4.1,103,38.69,2016,red,assente
Cabernet+Franc,South+Africa,Franschhoek,Anthonij+Rupert,4.2,103,59.95,2012,red,Cabernet+Franc
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Valandraud,4.4,103,193.02,2002,red,assente
Bramare+Rebon+Vineyard+Malbec,Argentina,Mendoza,Vi%C3%B1a+Cobos,4.6,103,75.07,2017,red,Malbec
Merlot+Reserva,Brazil,Vale+dos+Vinhedos,Pizzato,3.2,103,15.9,2008,red,Merlot
Brunello+di+Montalcino+Pianrosso,Italy,Brunello+di+Montalcino,Ciacci+Piccolomini+d%27Aragona,4.4,103,66.29,2015,red,Brunello
Fran%C3%A7ois+de+Tournon+Saint-Joseph,France,Saint-Joseph,Delas,3.9,103,29.15,2016,red,assente
Estibals+Minervois,France,Minervois,L%27Ostal+Cazes,3.6,103,10.99,2018,red,assente
Barbera+-+Garnacha,Chile,Maule+Valley,Erasmo,3.5,103,12.62,2017,red,Barbera
Roi+des+L%C3%A9zards,France,C%C3%B4tes+Catalanes,Domaine+Les+Enfants+Sauvages,3.9,103,19.4,2014,red,assente
One+Point+Five+Cabernet+Sauvignon,United+States,Stags+Leap+District,Shafer,4.5,1030,120.01,2016,red,Cabernet+Sauvignon
Barbaresco,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,red,assente
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+Branaire-Ducru,3.9,1030,59.54,2006,red,assente
M%C3%A9doc,France,M%C3%A9doc,Ch%C3%A2teau+Potensac,3.8,1033,39.69,2012,red,assente
Pieve+Santa+Restituta+Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Gaja,4.3,1035,59.9,2014,red,Brunello
Gran+Maestro+Primitivo+di+Manduria,Italy,Primitivo+di+Manduria,Maestro+Italiano,4.1,1036,9.75,2017,red,Primitivo
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+L%C3%A9oville+Barton,4.2,1037,87.24,2011,red,assente
Inferno+%28Aged+in+Whiskey+Barrels+-+Limited+Release%29,United+States,California,Apothic,3.8,1037,14.56,2017,red,assente
Pessac-L%C3%A9ognan+%28Grand+Cru+Class%C3%A9+de+Graves%29,France,Pessac-L%C3%A9ognan,Ch%C3%A2teau+Pape+Cl%C3%A9ment,4.3,1037,161.1,2007,red,assente
Faithful+Hound+Red,South+Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,red,assente
Serego+Alighieri+Vaio+Armaron+Amarone+della+Valpolicella+Classico,Italy,Amarone+della+Valpolicella,Masi,4.3,1039,69.0,2012,red,assente
Rosso+di+Montalcino,Italy,Rosso+di+Montalcino,Talenti,3.7,104,14.43,2018,red,assente
Chianti,Italy,Chianti,Sammontana,3.7,104,8.9,2017,red,assente
Azul,Spain,Ribera+del+Queiles,Guelbenzu,3.8,104,6.99,2015,red,assente
Sanct+Valentin+Riserva+Pinot+Noir,Italy,S%C3%BCdtirol+-+Alto+Adige,St.+Michael-Eppan,4.1,104,33.2,2017,red,Pinot+Noir
Mas+Collet+Barrica,Spain,Montsant,Cap%C3%A7anes,3.5,104,21.91,2009,red,assente
Valpolicella+Ripasso+Classico+Superiore,Italy,Valpolicella+Ripasso+Classico,Paolo+Cottini,4.0,104,16.9,2016,red,assente
Toscana+Poggio+Ai+Merli,Italy,Toscana,Castellare,4.3,104,69.0,2016,red,assente
Vi%C3%B1a+Aljibes+Red+Blend,Spain,Castilla,Finca+Los+Aljibes,3.4,104,8.2,2016,red,assente
Ch%C3%A2teauneuf-du-Pape+%28La+Crau%29,France,Ch%C3%A2teauneuf-du-Pape,Domaine+du+Vieux+T%C3%A9l%C3%A9graphe,4.4,104,79.95,2017,red,assente
Ch%C3%A2teauneuf-Du-Pape+La+Paillousse+Terroir+D%27Exception+Rouge,France,Ch%C3%A2teauneuf-du-Pape,Pierre+Amadieu,4.0,104,26.23,2015,red,assente
Mencia,Spain,Valdeorras,Vi%C3%B1a+Costeira,3.2,104,8.28,2015,red,Mencia
Santenay+Clos+de+Malte,France,Santenay,Louis+Jadot,4.1,104,32.0,2016,red,assente
Sudisf%C3%A0+Roero+Riserva,Italy,Roero,Negro+Angelo,4.1,104,29.9,2015,red,assente
L%C3%A9a+Les+Aspres+C%C3%B4tes+du+Roussillon+Rouge,France,C%C3%B4tes+du+Roussillon,Domaine+Lafage,4.0,104,19.95,2012,red,assente
Alleanza,Italy,Toscana,Castello+di+Gabbiano,4.1,104,26.95,2012,red,assente
Valpolicella+Ripasso+Classico+Superiore+Solane,Italy,Valpolicella+Ripasso,Santi,3.7,1040,14.75,2015,red,assente
Crianza,Spain,Binissalem-Mallorca,Bodegas+Jos%C3%A9+L.+Ferrer,3.8,1040,11.95,2015,red,assente
Courela+Tinto,Portugal,Alentejano,Cortes+de+Cima,3.6,1040,5.65,2016,red,assente
Barbera+d%27Alba+Tre+Vigne,Italy,Barbera+d%27Alba,Vietti,3.8,1040,19.5,2015,red,Barbera
No+Name,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,red,assente
Rioja+Bord%C3%B3n+Reserva,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011,red,assente
Pian+delle+Vigne+Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Antinori,4.3,1046,45.6,2014,red,Brunello
Almir%C3%A9z,Spain,Toro,Teso+La+Monja,4.0,1046,14.95,2016,red,assente
Colheita+Seleccionada+Rouge,Portugal,Alentejano,Rapariga+da+Quinta,3.2,1046,11.7,2010,red,assente
Ammasso+Rosso+Sicilia,Italy,Sicilia,Barone+Montalto,4.2,1047,16.34,2016,red,assente
C%C3%B4tes+du+Rh%C3%B4ne+Nature+Rouge,France,C%C3%B4tes-du-Rh%C3%B4ne,Famille+Perrin,3.6,1049,10.45,2016,red,assente
Russian+River+Valley+Zinfandel,United+States,Russian+River+Valley,DeLoach,3.5,105,18.49,2015,red,Zinfandel
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+L%C3%A9oville+Las+Cases,4.6,105,330.45,2016,red,assente
Halkidiki+Limnio+-+Merlot,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013,red,Limnio
Pomerol,France,Pomerol,Ch%C3%A2teau+l%27Ecuyer,4.2,105,43.16,2015,red,assente
Toar+Valpolicella+Classico+Superiore,Italy,Valpolicella+Classico,Masi,3.7,105,15.6,2016,red,assente
Arb%C3%B2re+Cannonau+di+Sardegna,Italy,Cannonau+di+Sardegna,Gabbas,4.0,105,21.9,2012,red,assente
%C3%81ngeles+de+Amaren+Tempranillo+-+Graciano,Spain,Rioja,Bodegas+Amaren,4.2,105,15.95,2015,red,Graciano
Barbera,Italy,Piemonte,Serre+dei+Roveri,3.3,105,6.15,2018,red,Barbera
Amarone+della+Valpolicella,Italy,Amarone+della+Valpolicella,Z%C3%BDm%C4%93,4.5,105,96.9,2006,red,assente
Castillo+de+Jumilla+Monastrell+-+Tempranillo,Spain,Jumilla,Bleda,3.5,105,5.33,2018,red,Monastrell+-+Tempranillo
Hommage+Lirac,France,Lirac,Domaine+Coudoulis,3.9,105,19.01,2016,red,assente
Poggio+d%27Arna+Toscana,Italy,Toscana,Tenuta+di+Sesta,3.6,105,12.9,2014,red,assente
Vinya+Le+Havre+Reserva+Cabernet+Sauvignon,Spain,Pened%C3%A8s,Jean+Leon,4.0,105,25.75,2013,red,Cabernet+Sauvignon
Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Tenute+Silvio+Nardi,3.8,105,32.75,2014,red,Brunello
Sor+Ugo+Bolgheri+Superiore,Italy,Bolgheri+Superiore,Aia+Vecchia,4.3,105,23.94,2017,red,assente
Ses+Nines+Negre,Spain,Binissalem-Mallorca,Tianna+Negre,3.8,105,11.25,2018,red,assente
Terrassen+Zweigelt+Blauer,Austria,Wachau,Dom%C3%A4ne+Wachau,3.7,105,9.95,2018,red,Zweigelt
Rosso+di+Montalcino,Italy,Rosso+di+Montalcino,Ciacci+Piccolomini+d%27Aragona,4.1,105,16.47,2018,red,assente
Riva+Ranch+Pinot+Noir+%28Reliz+Creek%29,United+States,Arroyo+Seco,Wente,3.9,105,24.15,2017,red,Pinot+Noir
Altos+R+Tempranillo,Spain,Rioja,Altos+de+Rioja,3.4,105,6.9,2017,red,Tempranillo
Amarone+della+Valpolicella+Classico,Italy,Amarone+della+Valpolicella+Classico,Zenato,4.2,105,43.61,2016,red,assente
Potenti+Toscana+%28Suvereto%29,Italy,Toscana,Petra,3.9,105,39.58,2015,red,assente
Trentatre+33+Rosso,Italy,Salento,Rocca,3.6,105,6.95,2017,red,assente
Pievasciata+Rosso,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,red,assente
Brunello+di+Montalcino,Italy,Brunello+di+Montalcino,Tenute+Silvio+Nardi,3.9,1050,35.5,2013,red,Brunello
The+Barossan+Shiraz,Australia,Barossa+Valley,Peter+Lehmann,3.8,1051,16.48,2017,red,Shiraz
Nero+d%27Avola,Italy,Terre+Siciliane,Colosi,3.8,1055,8.68,2017,red,Nero+d%27Avola
Bordeaux,France,Bordeaux,Jean-Pierre+Moueix,3.5,1056,10.21,2015,red,assente
Cabernet+Sauvignon,United+States,California,Woodbridge+by+Robert+Mondavi,3.4,1056,8.95,2018,red,Cabernet+Sauvignon
Tinto,Portugal,Lisboa,Porta+6,3.7,1056,9.12,2018,red,assente
D%C3%A9licate,South+Africa,Stellenbosch,De+Toren,4.1,1056,14.38,2025,red,assente
Aglianico+Rubrato,Italy,Irpinia,Feudi+di+San+Gregorio,3.5,1057,10.95,2014,red,Aglianico
Gran+Verano+Cabernet+Sauvignon,Chile,Central+Valley,Apaltagua,3.4,1059,6.95,2018,red,Cabernet+Sauvignon
Grand+Estates+Merlot,United+States,Columbia+Valley,Columbia+Crest,3.7,1059,12.4,2015,red,Merlot
Saint-Julien+%28Grand+Cru+Class%C3%A9%29,France,Saint-Julien,Ch%C3%A2teau+Beychevelle,4.0,106,86.76,2017,red,assente
Copa+Santa+La+M%C3%A9janelle,France,Languedoc,Clavel,4.0,106,17.9,2015,red,assente
Cantodoro,Italy,Sicilia,Feudo+Arancio,3.6,106,8.5,2016,red,assente
Vitiano+San+Lorenzo,Italy,Castel+San+Lorenzo,Falesco,3.9,106,11.95,2014,red,assente
Disueri+Nero+d%27Avola,Italy,Sicilia,Cusumano,3.6,106,7.7,2018,red,Nero+d%27Avola
Kirschgarten+Spatburgunder+GG,Germany,Pfalz,Knipser,4.2,106,39.95,2013,red,assente
B,Spain,Ribera+del+Duero,Baden+Numen,3.8,106,11.21,2017,red,assente
Pinot+Noir,Italy,Valle+d%27Aosta,Ottin+-+Viticulteur+Encaveur,4.0,106,22.5,2017,red,Pinot+Noir
Protocolo+Tinto,Spain,Castilla,Dominio+de+Eguren,3.7,106,5.95,2018,red,assente
Rouge,France,Bordeaux,Bad+Boy+%28Mauvais+Gar%C3%A7on%29,3.9,106,16.9,2016,red,assente
C%C3%B4te+de+Nuits+Villages+Le+Vaucrain,France,C%C3%B4te+de+Nuits+Villages,Louis+Jadot,4.0,106,32.0,2016,red,assente
Vino+Nobile+di+Montepulciano,Italy,Vino+Nobile+di+Montepulciano,Talosa,3.9,106,17.79,2016,red,Montepulciano
Yotuel+Selecci%C3%B3n,Spain,Ribera+del+Duero,Gallego+Zapatero,3.6,106,15.75,2014,red,assente
Lanzaga+Rioja,Spain,Rioja,Telmo+Rodriguez,3.8,106,19.95,2014,red,assente
Elysian+Collection+Merlot,United+States,California,Bonterra,3.8,106,26.7,2016,red,Merlot
La+Tiare+du+Pape+Ch%C3%A2teauneuf-du-Pape+Rouge,France,Ch%C3%A2teauneuf-du-Pape,Maison+Bouachon,3.9,106,45.0,2015,red,assente
Sp%C3%A4tburgunder+Trocken,Germany,Pfalz,%C3%96konomierat+Rebholz,3.9,106,21.4,2015,red,assente
El+Chocolatero+Cari%C3%B1ena,Spain,Cari%C3%B1ena,San+Valero,3.2,106,7.75,2014,red,assente
Hermitage+La+Chapelle+Rouge,France,Hermitage,Paul+Jaboulet+A%C3%AEn%C3%A9,4.3,106,249.95,2016,red,assente
Mas+Oliveras+Tempranillo,Spain,Catalunya,Ram%C3%B3n+Roqueta,3.2,106,6.5,2018,red,Tempranillo
Pannobile,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015,red,assente
Tempus,Italy,Veneto,Stefano+Accordini,3.8,106,10.42,2018,red,assente
Le+Clos+des+F%C3%A9es+%28Herv%C3%A9+Bizeul%29,France,C%C3%B4tes+du+Roussillon,Domaine+du+Clos+des+F%C3%A9es,4.1,106,52.53,2013,red,assente
T%C3%ADo+Mart%C3%ADn+Crianza,Spain,Rioja,D.+Mateos,3.8,106,15.69,2016,red,assente
Vigna+Del+Mandorlo+Dolcetto+d%27Alba,Italy,Dolcetto+d%27Alba,Elvio+Cogno,3.4,106,11.5,2017,red,Dolcetto
Barolo+Bussia,Italy,Barolo,Prunotto,4.1,106,69.0,2015,red,assente
